fid,id,left,top,right,bottom,장애거주비율,거리점수(지하철),버스 정류장 ,전동보조기기 충전소,편의/복지시설,총합점수
180,263,14116803.66,4519340.415,14117303.66,4518840.415,0.476,1,0.174,0,0,1.65
181,262,14116803.66,4519840.415,14117303.66,4519340.415,0.476,1,0.217,0,0.4,2.093
182,257,14116803.66,4522340.415,14117303.66,4521840.415,0.476,0,0,0,0,0.476
183,256,14116803.66,4522840.415,14117303.66,4522340.415,0.317,0,0,0,0,0.317
184,259,14116803.66,4521340.415,14117303.66,4520840.415,0.476,0,0,0,0.4,0.876
185,258,14116803.66,4521840.415,14117303.66,4521340.415,0.476,0,0,0,0,0.476
186,269,14116803.66,4516340.415,14117303.66,4515840.415,0.146,0,0.261,0,0,0.407
187,268,14116803.66,4516840.415,14117303.66,4516340.415,0.146,0,0.174,0,0,0.32
188,271,14116803.66,4515340.415,14117303.66,4514840.415,0.146,0,0,0,0,0.146
189,270,14116803.66,4515840.415,14117303.66,4515340.415,0.146,0,0,0,0,0.146
190,265,14116803.66,4518340.415,14117303.66,4517840.415,0.134,1,0.087,0,0,1.221
191,264,14116803.66,4518840.415,14117303.66,4518340.415,0.134,1,0.174,0,0,1.308
192,267,14116803.66,4517340.415,14117303.66,4516840.415,0.134,1,0.043,0.333333333,0.2,1.71
193,266,14116803.66,4517840.415,14117303.66,4517340.415,0.134,1,0.217,0,0.2,1.551
194,279,14117303.66,4522840.415,14117803.66,4522340.415,0.317,0,0,0,0,0.317
195,272,14116803.66,4514840.415,14117303.66,4514340.415,0.146,0,0,0,0,0.146
196,285,14117303.66,4519840.415,14117803.66,4519340.415,0.476,0.5,0.13,0.333333333,0,1.439
197,284,14117303.66,4520340.415,14117803.66,4519840.415,0.476,0.5,0.087,0,0,1.063
198,287,14117303.66,4518840.415,14117803.66,4518340.415,0.134,1,0.261,0,0.2,1.595
199,286,14117303.66,4519340.415,14117803.66,4518840.415,0.476,1,0.261,0,0,1.737
200,281,14117303.66,4521840.415,14117803.66,4521340.415,0.476,0,0,0,0,0.476
201,280,14117303.66,4522340.415,14117803.66,4521840.415,0.476,0,0,0,0,0.476
202,283,14117303.66,4520840.415,14117803.66,4520340.415,0.476,0,0.087,0,0,0.563
203,282,14117303.66,4521340.415,14117803.66,4520840.415,0.476,0,0,0,0,0.476
204,293,14117303.66,4515840.415,14117803.66,4515340.415,0.146,0,0.435,0,0,0.581
