상호명,지점명,도로명주소,사업장명,소재지면적,위도,경도
GS25,강서화곡로점,서울특별시 강서구 화곡로18길 31,지에스25 강서화곡로점,6.60,37.5388791,126.8359689
GS25,강서트레벨점,서울특별시 강서구 양천로57길 9-19,지에스25강서트레벨점,6.60,37.5638076,126.8525348
GS25,염창현대점,서울특별시 강서구 양천로75길 50,지에스25 염창현대점,6.60,37.5507345,126.875275
세븐일레븐,강서하이웨이주유소점,서울특별시 강서구 공항대로 432,세븐일레븐 강서하이웨이주유소점,3.30,37.5612563,126.8124407
CU,화곡미라클점,서울특별시 강서구 초록마을로5길 25,씨유 화곡미라클점,7.00,37.5438437,126.8476993
세븐일레븐,강서화곡신정점,서울특별시 강서구 등촌로13다길 32-18,세븐일레븐 강서화곡신정점,3.30,37.535572,126.8587021
CU,강서붐호텔점,서울특별시 강서구 남부순환로 188,CU강서붐호텔점,3.30,37.5485936,126.8196811
미니스톱,비즈메트로점,서울특별시 강서구 양천로 551-17,미니스톱 비즈메트로점,24.00,37.55916875,126.86096812022427
CU,강서도레미점,서울특별시 강서구 양천로26길 38,씨유 강서도레미점,3.30,37.5727976,126.8175387
미니스톱,등촌우리점,서울특별시 강서구 등촌로39마길 24,미니스톱 등촌우리점,3.30,37.546895,126.8590101
CU,화곡행복점,서울특별시 강서구 강서로17길 89,씨유 화곡행복점,3.30,37.5334156,126.8455506
CU,등촌주공점,서울특별시 강서구 공항대로43길 39,씨유등촌주공점,3.30,37.5582554,126.8492138
GS25,가양데시앙점,서울특별시 강서구 양천로 418,지에스25 가양데시앙점,3.30,37.5488695,126.8781594
CU,등촌원룸점,서울특별시 강서구 화곡로68길 132,씨유 등촌원룸점,3.30,37.557558,126.8589126
GS25,뉴내발산점,서울특별시 강서구 강서로45나길 59,GS25 뉴내발산점,7.00,37.550649899999996,126.8355195
세븐일레븐,강서화곡예스점,서울특별시 강서구 화곡로42길 35,세븐일레븐강서화곡예스점,3.30,37.546189,126.8469033
