사업장명,도로명주소,소재지면적,위도,경도
씨유 등촌심미점,서울특별시 강서구 공항대로59다길 1,3.30,37.5533546,126.8645555
이마트24 R강서등촌빌리지점,서울특별시 강서구 등촌로13길 67,10.00,37.5379589,126.8584522
세븐일레븐 서울호서대점,서울특별시 강서구 강서로 418,3.30,37.5596089,126.838587
씨유 방화오피스2호점,서울특별시 강서구 개화동로29길 14,3.30,37.5641858,126.8090734
씨유 마곡미라벨점,서울특별시 강서구 마곡서로 101,3.30,37.5627017,126.8238633
GS25 강서메르디앙점,서울특별시 강서구 공항대로38길 106,6.60,37.5578472,126.8388087
씨유 발산메디컬점,서울특별시 강서구 강서로47길 165,3.30,37.5534431,126.8269614444038
지에스25 마곡7단지점,서울특별시 강서구 마곡서로 133,6.60,37.5634278,126.8243108
지에스25 S마곡나루역점,서울특별시 강서구 마곡중앙로 지하 135,3.30,0.0,0.0
세븐일레븐 내발산점,서울특별시 강서구 강서로47라길 31,3.30,37.5516886,126.83262239999999
미니스톱 등촌우리점,서울특별시 강서구 등촌로39마길 24,3.30,37.546895,126.8590101
씨유화곡행운점,서울특별시 강서구 강서로8길 47,3.30,37.5297619,126.849934
씨유 나눔방화점,서울특별시 강서구 방화대로37길 15,3.30,37.5699191,126.8153687
씨유 염창로보점,서울특별시 강서구 공항대로71길 19,3.30,37.54837365,126.87205081809282
씨유 화곡천량점,서울특별시 강서구 곰달래로 260,3.30,37.5312794,126.8548343
지에스25화곡송화점,서울특별시 강서구 강서로45가길 11,3.30,37.5474229,126.83567649499426
GS25화곡들판점,서울특별시 강서구 곰달래로 205,3.30,37.5312794,126.8548343
지에스25 강서자이타워점,서울특별시 강서구 양천로 401,3.30,37.5488695,126.8781594
세븐일레븐 마곡에스비점,서울특별시 강서구 강서로 385,6.60,37.5596089,126.838587
세븐일레븐 발산제일점,서울특별시 강서구 우장산로 31,6.60,37.5544426,126.8407214
세븐일레븐 강서등마루점,서울특별시 강서구 화곡로66길 122,3.30,37.5583189,126.8538698
지에스25 등촌센트럴점,서울특별시 강서구 공항대로59다길 39,6.60,37.5480691,126.8754087
세븐일레븐 김포공항국내선1층점,서울특별시 강서구 하늘길 112,3.30,37.55846185,126.8032963758545
GS25화곡푸르지오,서울특별시 강서구 화곡로13길 107,3.30,37.543712049999996,126.83123357379043
지에스25발산에너지점,서울특별시 강서구 강서로56길 50,3.30,37.5596199,126.838934
GS25 강서송정,서울특별시 강서구 남부순환로11길 28,3.30,37.5559365,126.8148145
씨유 등촌원룸점,서울특별시 강서구 화곡로68길 132,3.30,37.557558,126.8589126
씨유개화산이너스빌점,서울특별시 강서구 양천로14가길 23,3.30,37.5722534,126.8088774
이마트24 등촌현대점,서울특별시 강서구 공항대로45길 24,3.30,37.5575077,126.856133
GS25 공항화물청사점,서울특별시 강서구 하늘길 233,3.30,37.5528678,126.8122268
씨유 강서오피스점,서울특별시 강서구 화곡로 354-5,3.30,37.5575476,126.853233
GS25 염창e편한점,서울특별시 강서구 공항대로 583,3.30,37.5487687,126.8709088
세븐일레븐 화곡화원점,서울특별시 강서구 가로공원로76가길 76,3.30,37.5354953,126.8418313
씨유 마곡디엠프라자점,서울특별시 강서구 마곡중앙8로5길 63,3.30,37.5634535,126.8376166
지에스25시영일점,서울특별시 강서구 까치산로4길 67,3.30,37.5389245,126.8478443
이마트24self 국립항공박물관점,서울특별시 강서구 하늘길 177,3.30,37.55665185,126.80846399106161
씨유 강서마곡점,서울특별시 강서구 양천로47나길 7,3.30,37.5719509,126.8402751
지에스25동성하나점,서울특별시 강서구 금낭화로23길 8,3.30,37.578978,126.8118297
씨유 서울식물원점,서울특별시 강서구 마곡동로 161,3.30,37.5561708,126.8328521
지에스25 등촌타운점,서울특별시 강서구 공항대로 543,6.60,37.5612563,126.8124407
GS25 S9 김포공항역점,서울특별시 강서구 하늘길 지하 77,3.30,0.0,0.0
GS25,서울특별시 강서구 방화동로 지하 30,3.30,0.0,0.0
씨유 마곡9단지점,서울특별시 강서구 공항대로 103,3.30,37.5612563,126.8124407
GS25 화곡타운점,서울특별시 강서구 강서로18라길 23,3.30,37.5356947,126.8484063
GS25 S9 염창역점,서울특별시 강서구 공항대로 지하 631,3.30,0.0,0.0
세븐일레븐 등촌영일점,서울특별시 강서구 등촌로51가길 27,3.30,37.5478089,126.8623635
미니스톱 화곡우정점,서울특별시 강서구 월정로 88,3.30,37.53301,126.8365271
지에스25 화곡드림점,서울특별시 강서구 우장산로16길 19,3.30,37.552314,126.8494033
씨유 강서엠파이어시티점,서울특별시 강서구 강서로 187,3.30,37.5596089,126.838587
지에스25 양천향교역점,서울특별시 강서구 양천로 지하 341,3.30,0.0,0.0
씨유 화곡시원점,서울특별시 강서구 가로공원로76길 38,3.30,37.5348312,126.8378596
지에스25 마곡9단지점,서울특별시 강서구 공항대로 103,3.30,37.5612563,126.8124407
씨유 화곡행복점,서울특별시 강서구 강서로17길 89,3.30,37.5334156,126.8455506
지에스25 개화행복점,서울특별시 강서구 개화동로23길 35,3.30,37.5661345,126.8089898
미니스톱 한강강서1점,서울특별시 강서구 양천로27길 280-11,3.30,37.580167,126.8196767
GS25 화곡나누리점,서울특별시 강서구 가로공원로 188,3.30,37.5370449,126.8357507
씨유 방화리치점,서울특별시 강서구 방화동로 107,3.30,37.5615634,126.8080486
지에스25(GS25) S김포공항역점,서울특별시 강서구 하늘길 지하 77,3.30,0.0,0.0
지에스25 피데스점,서울특별시 강서구 곰달래로59길 16,3.30,37.5344378,126.8628603
세븐일레븐 염창중앙점,서울특별시 강서구 양천로69길 11,3.30,37.5548311,126.8720968
씨유 뉴화곡에스점,서울특별시 강서구 강서로5나길 121,3.30,37.5284255,126.8437594
씨유 공항스타점,서울특별시 강서구 남부순환로11길 94,3.30,37.5559365,126.8148145
GS25 강서으뜸점,서울특별시 강서구 강서로7길 45,3.30,37.5293488,126.8448368
세븐일레븐 화곡파크뷰점,서울특별시 강서구 화곡로53길 9,3.30,37.5514249,126.8458983
GS25 화곡대원점,서울특별시 강서구 화곡로21길 87,3.30,37.5429499,126.83655
지에스25 공항하늘점,서울특별시 강서구 방화대로21나길 34,49.50,37.5637356,126.8121827
CU강서붐호텔점,서울특별시 강서구 남부순환로 188,3.30,37.5485936,126.8196811
세븐일레븐 마곡9단지점,서울특별시 강서구 공항대로 103,3.30,37.5612563,126.8124407
세븐일레븐 화곡우장산점,서울특별시 강서구 화곡로53길 58,3.30,37.552057500000004,126.84579168858247
세븐일레븐 등촌임광점,서울특별시 강서구 등촌로 113,3.30,37.5515987,126.8639552
GS25강서한빛,서울특별시 강서구 양천로30길 32,3.30,37.5685205,126.8232718
지에스25 뉴마곡12단지점,서울특별시 강서구 마곡중앙1로 26,3.30,37.558542,126.8218699
세븐일레븐 강서공항중앙점,서울특별시 강서구 송정로 10,3.30,37.5580738,126.8111162
CU 마곡웰튼점,서울특별시 강서구 마곡중앙5로 22,3.30,37.5671609,126.8220048
