상호명,지점명,도로명주소,경도,위도
CU,화곡초록마을점,서울특별시 강서구 강서로18다길 41,126.8466922,37.53595896
세븐일레븐,가양한림점,서울특별시 강서구 강서로 511,126.8413419,37.57093874
CU,가양미르웰점,서울특별시 강서구 강서로68길 35,126.8430443,37.56627008
GS25,등촌한마음점,서울특별시 강서구 공항대로58길 32,126.8623927,37.55040169
GS25,방화가온점,서울특별시 강서구 양천로11길 14,126.8100282,37.57393401
GS25,S9증미역점,서울특별시 강서구 양천로 560,126.8612291,37.55770687
GS25,강서으뜸점,서울특별시 강서구 강서로7길 45,126.8452567,37.52925925
GS25,화곡월정점,서울특별시 강서구 가로공원로76길 100,126.8388207,37.53280929
세븐일레븐,등촌두보점,서울특별시 강서구 공항대로58나길 40-44,126.8576879,37.55094194
GS25,염창신동아점,서울특별시 강서구 양천로67길 32,126.8688411,37.55504992
CU,방화1호점,서울특별시 강서구 방화대로52길 40,126.8190108,37.57788962
GS25,강서한빛점,서울특별시 강서구 양천로30길 32,126.8225817,37.57183435
GS25,마곡퍼스트점,서울특별시 강서구 마곡중앙로 76,126.8274815,37.560404
GS25,LG사이언스파크점,서울특별시 강서구 마곡중앙10로 10,126.8302176,37.56348564
GS25,수명산4단지점,서울특별시 강서구 수명로1길 16,126.8225424,37.55203833
미니스톱,화곡엠파이어시티점,서울특별시 강서구 강서로 187,126.8387089,37.54293582
미니스톱,우리동네점,서울특별시 강서구 강서로7길 89,126.842714,37.52907217
미니스톱,화곡명월점,서울특별시 강서구 곰달래로 104,126.844313,37.53029522
CU,화곡신월초교점,서울특별시 강서구 강서로31길 52,126.838765,37.53931422
GS25,강서화곡로점,서울특별시 강서구 화곡로18길 31,126.836078,37.53892735
GS25,강서트레벨점,서울특별시 강서구 양천로57길 9-19,126.8509172,37.56367091
GS25,염창현대점,서울특별시 강서구 양천로75길 50,126.875657,37.55186228
GS25,가양글로벌점,서울특별시 강서구 화곡로72길 62,126.8587998,37.56040454
미니스톱,강서공항점,서울특별시 강서구 공항대로8길 55,126.8124116,37.55857745
CU,항공지원센터2호점,서울특별시 강서구 하늘길 70,126.7963528,37.56198289
GS25,편의점,서울특별시 강서구 양천로67길 32,126.8688411,37.55504992
세븐일레븐,강서하이웨이주유소점,서울특별시 강서구 공항대로 432,126.8549396,37.55452846
GS25,강서까치산점,서울특별시 강서구 강서로16길 22,126.8475208,37.53284947
세븐일레븐,발산W타워점,서울특별시 강서구 공항대로 222,126.8321606,37.55865733
CU,화곡미라클점,서울특별시 강서구 초록마을로5길 25,126.84742,37.54380508
CU,방화역점,서울특별시 강서구 금낭화로 287-50,126.8124598,37.5783555
세븐일레븐,강서화곡신정점,서울특별시 강서구 등촌로13다길 32-18,126.858817,37.53552713
CU,강서붐호텔점,서울특별시 강서구 남부순환로 188,126.8195859,37.54862093
미니스톱,비즈메트로점,서울특별시 강서구 양천로 551-17,126.8609249,37.55910054
이마트24,마곡골든점,서울특별시 강서구 마곡중앙6로 89,126.8372758,37.56015848
CU,강서도레미점,서울특별시 강서구 양천로26길 38,126.8183534,37.57220657
미니스톱,등촌우리점,서울특별시 강서구 등촌로39마길 24,126.8588436,37.54640289
CU,화곡행복점,서울특별시 강서구 강서로17길 89,126.8407748,37.53228787
GS25,가양데시앙점,서울특별시 강서구 양천로 418,126.8477436,37.56468517
CU,등촌원룸점,서울특별시 강서구 화곡로68길 132,126.8607377,37.55653079
GS25,뉴내발산점,서울특별시 강서구 강서로45나길 59,126.8354878,37.55068002
세븐일레븐,강서화곡예스점,서울특별시 강서구 화곡로42길 35,126.8474658,37.54597702
GS25,방화샤르망점,서울특별시 강서구 방화대로47가길 7,126.812987,37.57652271
CU,화곡영광점,서울특별시 강서구 곰달래로53길 121,126.8560107,37.53628388
CU,김포공항3호점,서울특별시 강서구 하늘길 111,126.8033425,37.55877421
세븐일레븐,강서화곡한솔점,서울특별시 강서구 까치산로17길 10,126.8492419,37.54821989
GS25,화곡열매점,서울특별시 강서구 곰달래로49길 56,126.8570169,37.53411311
CU,목동먹자촌점,서울특별시 강서구 곰달래로60가길 4,126.8630475,37.53038697
GS25,마곡동익점,서울특별시 강서구 공항대로 195,126.8292573,37.55975486
CU,발산열린점,서울특별시 강서구 마곡중앙6로 93,126.8376838,37.56012645
CU,등촌5단지점,서울특별시 강서구 강서로62길 98,126.8449941,37.5616849
CU,송정역점,서울특별시 강서구 공항대로 43,126.8121499,37.56151218
GS25,화곡도래점,서울특별시 강서구 까치산로20길 11,126.8508135,37.54831629
CU,88체육관점,서울특별시 강서구 공항대로 376,126.847174,37.55684063
CU,편의점,서울특별시 강서구 공항대로 509,126.8632155,37.55211257
GS25,마곡SB점,서울특별시 강서구 마곡중앙5로 81,126.8187513,37.5670837
GS25,공항다솔점,서울특별시 강서구 방화대로6마길 22,126.8178146,37.55400939
GS25,화곡공원점,서울특별시 강서구 화곡로42가길 9,126.8458111,37.54614106
GS25,등촌현대점,서울특별시 강서구 등촌로 163,126.8615738,37.54471728
GS25,강서센트레점,서울특별시 강서구 공항대로2길 25,126.808751,37.56029758
CU,서울식물원점,서울특별시 강서구 마곡중앙로 136,126.8328996,37.57223415
세븐일레븐,S방화역점,서울특별시 강서구 금낭화로 132,126.8126172,37.57699654
세븐일레븐,화곡까치산로점,서울특별시 강서구 까치산로 29,126.8435478,37.54247874
CU,마곡투웨니점,서울특별시 강서구 강서로 443,126.8398916,37.56518493
GS25,화곡가로공원점,서울특별시 강서구 가로공원로 217,126.8399192,37.53785687
CU,강서오토플렉스점,서울특별시 강서구 양천로 390,126.8449306,37.56579298
CU,마곡퀸즈점,서울특별시 강서구 공항대로 212,126.8307769,37.55884186
세븐일레븐,개화중앙점,서울특별시 강서구 개화동로9길 7,126.800313,37.57900756
CU,마곡로뎀점,서울특별시 강서구 공항대로 186,126.8279775,37.55908441
미니스톱,화곡재성점,서울특별시 강서구 월정로20길 25,126.8399421,37.52980184
CU,강서가로공원점,서울특별시 강서구 가로공원로 216,126.8399507,37.53728052
CU,염창오피스점,서울특별시 강서구 공항대로 653-9,126.8774609,37.54778874
세븐일레븐,화곡푸르지오점,서울특별시 강서구 화곡로13길 107,126.8304125,37.54233134
세븐일레븐,마곡대방디엠,서울특별시 강서구 마곡동로10길 23,126.8393414,37.56854938
GS25,방화제일점,서울특별시 강서구 방화동로12길 14,126.8134407,37.56648081
세븐일레븐,마곡로뎀점,서울특별시 강서구 공항대로 186,126.8279775,37.55908441
